Year	Code	File name prefix	Author	Work	Licence
1908	lb1612943	ElkanS_FranOstanOchVastan_1908	Sophie Elkan	Från Östan och Västan. En novellbok	cc-by	
1909	lb1612989	EngstromA_EnBokTill_1909	Albert Engström	En bok till	cc-by	
1905	lb1612991	EngstromA_EnBok_1905	Albert Engström	En bok	cc-by	
1907	lb1612994	EngstromA_MittLifOchLefverne_1907	Albert Engström	Mitt lif och lefverne	cc-by	
1907	lb1613203	FitinghoffL_BarnenIfranFrostmofjallet_1907	Laura Fitinghoff	Barnen ifrån Frostmofjället. En barnberättelse för små och stora	cc-by	
1910	lb1615057	KampeA_Mikaelsdal_1910	Alfred Kämpe	Mikaelsdal	cc-by	
1909	lb1615058	KampeA_Torpare_1909	Alfred Kämpe	Torpare. Några skisser från herregårdsfolkets liv	cc-by	
1907	lb1615059	KampeA_Tralar_1907	Alfred Kämpe	Trälar. Några berättelser från en herregård	cc-by	
1908	lb1615101	LagerlofS_EnSagaOmEnSaga_1908	Selma Lagerlöf	En saga om en saga och andra sagor	cc-by	
1906	lb1618496	UddgrenG_KringRosenbuskenUngbohemen_1906	Gustaf Uddgren	Kring rosenbusken. Ungbohêmen. Två novelletter	cc-by	
1907	lb1619134	WagnerE_FranDetJordiskaMuseet_1907	Elin Wägner	Från det jordiska museet. Skisser	cc-by	
1908	lb1619135	WagnerE_Norrtullsligan_1908	Elin Wägner	Norrtullsligan. Elisabeths krönika	cc-by	
1892	lb1620755	AgrellA_IStockholm_1892	Alfhild Agrell	I Stockholm. Också en resebeskrifning	cc-by	
1887	lb1620756	AgrellA_PaLandsbygden_1887	Alfhild Agrell	På landsbygden	cc-by	
1888	lb1621081	BenedictssonV_Modern_1888	Victoria Benedictsson	Modern. En berättelse	cc-by	
1894	lb1622270	ElkanS_SafveKurtOCo_1894	Sophie Elkan	Säfve, Kurt & Co. Nutidsberättelse af Rust Roest	cc-by	
1887	lb1623196	HedbergT_SkizzerOchBerattelser_1887	Tor Hedberg	Skizzer och berättelser	cc-by	
1888	lb1623997	MallingM_AliceBrandt_1888	Mathilda Malling	Alice Brandt. En kvinnoprofil	cc-by	
1889	lb1624464	LundegardA_RodePrinsen_1889	Axel Lundegård	Röde Prinsen. Ett ungdomslif i stämningar	cc-by	
1888	lb1625230	NyblomH_QvinnoodenNoveller_1888	Helena Nyblom	Qvinnoöden. Noveller	cc-by	
1893	lb1625594	LindholmF_Stockholmsdetektiven_1893	Fredrik Lindholm	Stockholms-detektiven. Brottmålsroman	cc-by	
1895	lb1626787	SoderbergH_Forvillelser_1895	Hjalmar Söderberg	Förvillelser. Berättelse	cc-by	
